Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 15:51:55,976][checkpoint][WARNING] - Provided checkpoint directory /home/iaziz6/Imo_Training/Training/checkpoints_ensemble_3x3/ensemble_0 does not exist, skipping load
[2026-05-01 15:51:55,976][main][INFO] - Starting ensemble 1/3 with train_num_samples=100, val_num_samples=6, max_epochs=3, log_every_steps=1, val_every_steps=100, save_every=1, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_ensemble_3x3/ensemble_0.
Ensemble 1/3 | Epoch 2/3 | Step 90/100 | Global 190 | Loss 0.288236 | LR 9.54e-04
Ensemble 1/3 | Epoch 2/3 | Step 91/100 | Global 191 | Loss 0.096700 | LR 9.53e-04
Ensemble 1/3 | Epoch 2/3 | Step 92/100 | Global 192 | Loss 0.161026 | LR 9.53e-04
Ensemble 1/3 | Epoch 2/3 | Step 93/100 | Global 193 | Loss 0.147914 | LR 9.53e-04
Ensemble 1/3 | Epoch 2/3 | Step 94/100 | Global 194 | Loss 0.328251 | LR 9.53e-04
Ensemble 1/3 | Epoch 2/3 | Step 95/100 | Global 195 | Loss 0.133994 | LR 9.52e-04
Ensemble 1/3 | Epoch 2/3 | Step 96/100 | Global 196 | Loss 0.153637 | LR 9.52e-04
Ensemble 1/3 | Epoch 2/3 | Step 97/100 | Global 197 | Loss 0.282075 | LR 9.52e-04
Ensemble 1/3 | Epoch 2/3 | Step 98/100 | Global 198 | Loss 0.165436 | LR 9.52e-04
Ensemble 1/3 | Epoch 2/3 | Step 99/100 | Global 199 | Loss 0.148413 | LR 9.51e-04
[2026-05-01 16:32:42,136][train][INFO] - [100.00%] Mini-Batch Losses: Mini-batch loss =  1.841e-01
Ensemble 1/3 | Epoch 2/3 | Step 100/100 | Global 200 | Loss 0.184081 | LR 9.51e-04
[2026-05-01 16:33:52,226][train][INFO] - Epoch 2 Metrics: Learning Rate =  9.512e-04, Mini-batch loss =  1.543e-01
[2026-05-01 16:33:52,226][train][INFO] - Epoch Execution Time:  1.242e+03s, Time/Iter:  1.242e+04ms
[2026-05-01 16:33:52,344][checkpoint][INFO] - Saved model state dictionary: /home/iaziz6/Imo_Training/Training/checkpoints_ensemble_3x3/ensemble_0/UNet.0.2.mdlus
[2026-05-01 16:33:52,443][checkpoint][INFO] - Saved training checkpoint: /home/iaziz6/Imo_Training/Training/checkpoints_ensemble_3x3/ensemble_0/checkpoint.0.2.pt
Ensemble 1/3 | Epoch 3/3 | Step 1/100 | Global 201 | Loss 0.124225 | LR 9.51e-04
Ensemble 1/3 | Epoch 3/3 | Step 2/100 | Global 202 | Loss 0.206349 | LR 9.51e-04
Ensemble 1/3 | Epoch 3/3 | Step 3/100 | Global 203 | Loss 0.240780 | LR 9.51e-04
Ensemble 1/3 | Epoch 3/3 | Step 4/100 | Global 204 | Loss 0.121310 | LR 9.50e-04
Ensemble 1/3 | Epoch 3/3 | Step 5/100 | Global 205 | Loss 0.160132 | LR 9.50e-04
Ensemble 1/3 | Epoch 3/3 | Step 6/100 | Global 206 | Loss 0.100608 | LR 9.50e-04
Ensemble 1/3 | Epoch 3/3 | Step 7/100 | Global 207 | Loss 0.195521 | LR 9.50e-04
Ensemble 1/3 | Epoch 3/3 | Step 8/100 | Global 208 | Loss 0.290166 | LR 9.49e-04
Ensemble 1/3 | Epoch 3/3 | Step 9/100 | Global 209 | Loss 0.136185 | LR 9.49e-04
Ensemble 1/3 | Epoch 3/3 | Step 10/100 | Global 210 | Loss 0.184470 | LR 9.49e-04
Ensemble 1/3 | Epoch 3/3 | Step 11/100 | Global 211 | Loss 0.138039 | LR 9.49e-04
Ensemble 1/3 | Epoch 3/3 | Step 12/100 | Global 212 | Loss 0.125664 | LR 9.48e-04
Ensemble 1/3 | Epoch 3/3 | Step 13/100 | Global 213 | Loss 0.166676 | LR 9.48e-04
