Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-04-30 06:49:04,119][main][INFO] - Using physics-informed training with train_num_samples=100, val_num_samples=6, max_epochs=100, log_every_steps=1, val_every_steps=7.
Epoch 1/100 | Step 99/100 | Global 99 | Total 0.357498 | Data 0.330673 | NS 13.175846 | T 13.649096 | LR 9.76e-04
[2026-04-30 07:26:39,560][train][INFO] - [400.00%] Mini-Batch Losses: Mini-batch T phy loss =  1.764e+01
Epoch 1/100 | Step 100/100 | Global 100 | Total 0.364356 | Data 0.333178 | NS 13.536646 | T 17.640623 | LR 9.75e-04
[2026-04-30 07:26:39,640][train][INFO] - Epoch 1 Metrics: Learning Rate =  9.753e-04, Mini-batch total loss =  1.505e-01, Mini-batch data loss =  1.437e-01, Mini-batch NS phy loss =  2.870e+00, Mini-batch T phy loss =  3.874e+00
[2026-04-30 07:26:39,644][train][INFO] - Epoch Execution Time:  2.256e+03s, Time/Iter:  5.639e+03ms
Epoch 2/100 | Step 1/100 | Global 101 | Total 0.320120 | Data 0.289189 | NS 14.421703 | T 16.509512 | LR 9.75e-04
Epoch 2/100 | Step 2/100 | Global 102 | Total 0.487224 | Data 0.462250 | NS 13.267487 | T 11.707133 | LR 9.75e-04
Epoch 2/100 | Step 3/100 | Global 103 | Total 0.318517 | Data 0.292591 | NS 15.698267 | T 10.227659 | LR 9.75e-04
Epoch 2/100 | Step 4/100 | Global 104 | Total 0.304234 | Data 0.279864 | NS 15.205713 | T 9.164599 | LR 9.74e-04
Epoch 2/100 | Step 5/100 | Global 105 | Total 0.408866 | Data 0.381420 | NS 17.935209 | T 9.510384 | LR 9.74e-04
Epoch 2/100 | Step 6/100 | Global 106 | Total 0.309806 | Data 0.275279 | NS 22.270313 | T 12.256231 | LR 9.74e-04
Epoch 2/100 | Step 7/100 | Global 107 | Total 0.384285 | Data 0.351853 | NS 23.644522 | T 8.786987 | LR 9.74e-04
Epoch 2/100 | Step 8/100 | Global 108 | Total 0.460649 | Data 0.425810 | NS 26.214935 | T 8.624348 | LR 9.73e-04
Epoch 2/100 | Step 9/100 | Global 109 | Total 0.425459 | Data 0.389001 | NS 27.711514 | T 8.745913 | LR 9.73e-04
Epoch 2/100 | Step 10/100 | Global 110 | Total 0.322758 | Data 0.290697 | NS 24.103903 | T 7.957154 | LR 9.73e-04
Epoch 2/100 | Step 11/100 | Global 111 | Total 0.332371 | Data 0.298698 | NS 23.299358 | T 10.373512 | LR 9.73e-04
Epoch 2/100 | Step 12/100 | Global 112 | Total 0.461182 | Data 0.435068 | NS 20.060404 | T 6.053701 | LR 9.72e-04
Epoch 2/100 | Step 13/100 | Global 113 | Total 0.372854 | Data 0.348389 | NS 17.459578 | T 7.006053 | LR 9.72e-04
Epoch 2/100 | Step 14/100 | Global 114 | Total 0.338239 | Data 0.315260 | NS 15.411345 | T 7.568177 | LR 9.72e-04
Epoch 2/100 | Step 15/100 | Global 115 | Total 0.292863 | Data 0.271362 | NS 14.491360 | T 7.009968 | LR 9.72e-04
