Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 14:01:00,577][checkpoint][WARNING] - Provided checkpoint directory /home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet does not exist, skipping load
[2026-05-01 14:01:00,578][main][INFO] - Using baseline UNet training with train_num_samples=100, val_num_samples=6, max_epochs=16, log_every_steps=1, val_every_steps=100, save_every=2, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet.
Epoch 2/16 | Step 81/100 (global 181) | Loss 0.097854 | LR 9.56e-04
Epoch 2/16 | Step 82/100 (global 182) | Loss 0.138995 | LR 9.56e-04
Epoch 2/16 | Step 83/100 (global 183) | Loss 0.147486 | LR 9.55e-04
Epoch 2/16 | Step 84/100 (global 184) | Loss 0.120091 | LR 9.55e-04
Epoch 2/16 | Step 85/100 (global 185) | Loss 0.169952 | LR 9.55e-04
Epoch 2/16 | Step 86/100 (global 186) | Loss 0.424352 | LR 9.55e-04
Epoch 2/16 | Step 87/100 (global 187) | Loss 0.290151 | LR 9.54e-04
Epoch 2/16 | Step 88/100 (global 188) | Loss 0.111341 | LR 9.54e-04
Epoch 2/16 | Step 89/100 (global 189) | Loss 0.210347 | LR 9.54e-04
Epoch 2/16 | Step 90/100 (global 190) | Loss 0.291112 | LR 9.54e-04
Epoch 2/16 | Step 91/100 (global 191) | Loss 0.107784 | LR 9.53e-04
Epoch 2/16 | Step 92/100 (global 192) | Loss 0.168305 | LR 9.53e-04
Epoch 2/16 | Step 93/100 (global 193) | Loss 0.160846 | LR 9.53e-04
Epoch 2/16 | Step 94/100 (global 194) | Loss 0.337901 | LR 9.53e-04
Epoch 2/16 | Step 95/100 (global 195) | Loss 0.132269 | LR 9.52e-04
Epoch 2/16 | Step 96/100 (global 196) | Loss 0.151618 | LR 9.52e-04
Epoch 2/16 | Step 97/100 (global 197) | Loss 0.273738 | LR 9.52e-04
Epoch 2/16 | Step 98/100 (global 198) | Loss 0.180214 | LR 9.52e-04
Epoch 2/16 | Step 99/100 (global 199) | Loss 0.163062 | LR 9.51e-04
[2026-05-01 14:42:00,336][train][INFO] - [100.00%] Mini-Batch Losses: Mini-batch loss =  1.712e-01
Epoch 2/16 | Step 100/100 (global 200) | Loss 0.171162 | LR 9.51e-04
[2026-05-01 14:43:11,320][train][INFO] - Epoch 2 Metrics: Learning Rate =  9.512e-04, Mini-batch loss =  1.597e-01
[2026-05-01 14:43:11,324][train][INFO] - Epoch Execution Time:  1.254e+03s, Time/Iter:  1.254e+04ms
[2026-05-01 14:43:11,324][checkpoint][WARNING] - Output directory /home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet does not exist, will attempt to create
[2026-05-01 14:43:11,477][checkpoint][INFO] - Saved model state dictionary: /home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet/UNet.0.2.mdlus
[2026-05-01 14:43:11,565][checkpoint][INFO] - Saved training checkpoint: /home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet/checkpoint.0.2.pt
Epoch 3/16 | Step 1/100 (global 201) | Loss 0.122959 | LR 9.51e-04
Epoch 3/16 | Step 2/100 (global 202) | Loss 0.193761 | LR 9.51e-04
Epoch 3/16 | Step 3/100 (global 203) | Loss 0.239143 | LR 9.51e-04
Epoch 3/16 | Step 4/100 (global 204) | Loss 0.118014 | LR 9.50e-04
Epoch 3/16 | Step 5/100 (global 205) | Loss 0.171299 | LR 9.50e-04
Epoch 3/16 | Step 6/100 (global 206) | Loss 0.097439 | LR 9.50e-04
Epoch 3/16 | Step 7/100 (global 207) | Loss 0.190836 | LR 9.50e-04
Epoch 3/16 | Step 8/100 (global 208) | Loss 0.281199 | LR 9.49e-04
Epoch 3/16 | Step 9/100 (global 209) | Loss 0.133803 | LR 9.49e-04
Epoch 3/16 | Step 10/100 (global 210) | Loss 0.179544 | LR 9.49e-04
Epoch 3/16 | Step 11/100 (global 211) | Loss 0.139814 | LR 9.49e-04
Epoch 3/16 | Step 12/100 (global 212) | Loss 0.126259 | LR 9.48e-04
Epoch 3/16 | Step 13/100 (global 213) | Loss 0.176718 | LR 9.48e-04
Epoch 3/16 | Step 14/100 (global 214) | Loss 0.135697 | LR 9.48e-04
Epoch 3/16 | Step 15/100 (global 215) | Loss 0.159307 | LR 9.48e-04
Epoch 3/16 | Step 16/100 (global 216) | Loss 0.214348 | LR 9.47e-04
Epoch 3/16 | Step 17/100 (global 217) | Loss 0.144203 | LR 9.47e-04
Epoch 3/16 | Step 18/100 (global 218) | Loss 0.138198 | LR 9.47e-04
Epoch 3/16 | Step 19/100 (global 219) | Loss 0.092969 | LR 9.47e-04
Epoch 3/16 | Step 20/100 (global 220) | Loss 0.085203 | LR 9.46e-04
Epoch 3/16 | Step 21/100 (global 221) | Loss 0.113793 | LR 9.46e-04
Epoch 3/16 | Step 22/100 (global 222) | Loss 0.127260 | LR 9.46e-04
Epoch 3/16 | Step 23/100 (global 223) | Loss 0.151224 | LR 9.46e-04
Epoch 3/16 | Step 24/100 (global 224) | Loss 0.180512 | LR 9.46e-04
Epoch 3/16 | Step 25/100 (global 225) | Loss 0.143158 | LR 9.45e-04
Epoch 3/16 | Step 26/100 (global 226) | Loss 0.110595 | LR 9.45e-04
Epoch 3/16 | Step 27/100 (global 227) | Loss 0.093379 | LR 9.45e-04
Epoch 3/16 | Step 28/100 (global 228) | Loss 0.091167 | LR 9.45e-04
Epoch 3/16 | Step 29/100 (global 229) | Loss 0.077778 | LR 9.44e-04
Epoch 3/16 | Step 30/100 (global 230) | Loss 0.242853 | LR 9.44e-04
Epoch 3/16 | Step 31/100 (global 231) | Loss 0.097705 | LR 9.44e-04
Epoch 3/16 | Step 32/100 (global 232) | Loss 0.101090 | LR 9.44e-04
Epoch 3/16 | Step 33/100 (global 233) | Loss 0.313713 | LR 9.43e-04
Epoch 3/16 | Step 34/100 (global 234) | Loss 0.292959 | LR 9.43e-04
Epoch 3/16 | Step 35/100 (global 235) | Loss 0.217420 | LR 9.43e-04
Epoch 3/16 | Step 36/100 (global 236) | Loss 0.163236 | LR 9.43e-04
Epoch 3/16 | Step 37/100 (global 237) | Loss 0.194680 | LR 9.42e-04
Epoch 3/16 | Step 38/100 (global 238) | Loss 0.083859 | LR 9.42e-04
Epoch 3/16 | Step 39/100 (global 239) | Loss 0.152743 | LR 9.42e-04
Epoch 3/16 | Step 40/100 (global 240) | Loss 0.153127 | LR 9.42e-04
Epoch 3/16 | Step 41/100 (global 241) | Loss 0.127449 | LR 9.42e-04
Epoch 3/16 | Step 42/100 (global 242) | Loss 0.154885 | LR 9.41e-04
Epoch 3/16 | Step 43/100 (global 243) | Loss 0.118007 | LR 9.41e-04
Epoch 3/16 | Step 44/100 (global 244) | Loss 0.089222 | LR 9.41e-04
Epoch 3/16 | Step 45/100 (global 245) | Loss 0.116871 | LR 9.41e-04
Epoch 3/16 | Step 46/100 (global 246) | Loss 0.130121 | LR 9.40e-04
Epoch 3/16 | Step 47/100 (global 247) | Loss 0.133453 | LR 9.40e-04
Epoch 3/16 | Step 48/100 (global 248) | Loss 0.197411 | LR 9.40e-04
Epoch 3/16 | Step 49/100 (global 249) | Loss 0.126033 | LR 9.40e-04
Epoch 3/16 | Step 50/100 (global 250) | Loss 0.158394 | LR 9.39e-04
