Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 08:00:55,464][checkpoint][ERROR] - Could not find valid model file /home/iaziz6/Imo_Training/Training/checkpoints_physics_ns_only/UNet.0.0.mdlus, skipping load
[2026-05-01 08:00:55,465][checkpoint][WARNING] - Could not find valid checkpoint file, skipping load
[2026-05-01 08:00:55,465][main][INFO] - Using NS-only physics-informed training with train_num_samples=100, val_num_samples=6, max_epochs=16, log_every_steps=1, val_every_steps=100, save_every=2, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_physics_ns_only.
Epoch 2/16 | Step 51/100 | Global 151 | Total 0.179543 | Data 0.173522 | NS 6.020722 | LR 9.63e-04
Epoch 2/16 | Step 52/100 | Global 152 | Total 0.239834 | Data 0.233122 | NS 6.711506 | LR 9.63e-04
Epoch 2/16 | Step 53/100 | Global 153 | Total 0.208536 | Data 0.200011 | NS 8.524962 | LR 9.62e-04
Epoch 2/16 | Step 54/100 | Global 154 | Total 0.321692 | Data 0.312837 | NS 8.855559 | LR 9.62e-04
Epoch 2/16 | Step 55/100 | Global 155 | Total 0.219112 | Data 0.210632 | NS 8.480518 | LR 9.62e-04
Epoch 2/16 | Step 56/100 | Global 156 | Total 0.193112 | Data 0.184602 | NS 8.509560 | LR 9.62e-04
Epoch 2/16 | Step 57/100 | Global 157 | Total 0.379081 | Data 0.371051 | NS 8.029892 | LR 9.62e-04
Epoch 2/16 | Step 58/100 | Global 158 | Total 0.218240 | Data 0.209302 | NS 8.937519 | LR 9.61e-04
Epoch 2/16 | Step 59/100 | Global 159 | Total 0.241161 | Data 0.222388 | NS 18.773018 | LR 9.61e-04
Epoch 2/16 | Step 60/100 | Global 160 | Total 0.159284 | Data 0.150856 | NS 8.427919 | LR 9.61e-04
Epoch 2/16 | Step 61/100 | Global 161 | Total 0.811647 | Data 0.802434 | NS 9.213719 | LR 9.61e-04
Epoch 2/16 | Step 62/100 | Global 162 | Total 0.171894 | Data 0.165679 | NS 6.215580 | LR 9.60e-04
Epoch 2/16 | Step 63/100 | Global 163 | Total 0.187796 | Data 0.174087 | NS 13.708624 | LR 9.60e-04
Epoch 2/16 | Step 64/100 | Global 164 | Total 0.184754 | Data 0.177177 | NS 7.577324 | LR 9.60e-04
Epoch 2/16 | Step 65/100 | Global 165 | Total 0.151831 | Data 0.142647 | NS 9.184271 | LR 9.60e-04
Epoch 2/16 | Step 66/100 | Global 166 | Total 0.412093 | Data 0.400494 | NS 11.599135 | LR 9.59e-04
[2026-05-01 08:35:57,291][train][INFO] - [200.00%] Mini-Batch Losses: Mini-batch data loss =  2.510e-01
Epoch 2/16 | Step 67/100 | Global 167 | Total 0.262023 | Data 0.251029 | NS 10.993496 | LR 9.59e-04
Epoch 2/16 | Step 68/100 | Global 168 | Total 0.176949 | Data 0.167299 | NS 9.649242 | LR 9.59e-04
Epoch 2/16 | Step 69/100 | Global 169 | Total 0.177712 | Data 0.168618 | NS 9.094557 | LR 9.59e-04
Epoch 2/16 | Step 70/100 | Global 170 | Total 0.230260 | Data 0.221883 | NS 8.377157 | LR 9.58e-04
Epoch 2/16 | Step 71/100 | Global 171 | Total 0.387602 | Data 0.378698 | NS 8.904026 | LR 9.58e-04
Epoch 2/16 | Step 72/100 | Global 172 | Total 0.215684 | Data 0.208191 | NS 7.493666 | LR 9.58e-04
Epoch 2/16 | Step 73/100 | Global 173 | Total 0.207854 | Data 0.202162 | NS 5.692698 | LR 9.58e-04
Epoch 2/16 | Step 74/100 | Global 174 | Total 0.271515 | Data 0.265568 | NS 5.946643 | LR 9.57e-04
Epoch 2/16 | Step 75/100 | Global 175 | Total 0.157848 | Data 0.152407 | NS 5.441841 | LR 9.57e-04
Epoch 2/16 | Step 76/100 | Global 176 | Total 0.143763 | Data 0.138130 | NS 5.633497 | LR 9.57e-04
Epoch 2/16 | Step 77/100 | Global 177 | Total 0.124402 | Data 0.118694 | NS 5.708400 | LR 9.57e-04
Epoch 2/16 | Step 78/100 | Global 178 | Total 0.138513 | Data 0.132181 | NS 6.331983 | LR 9.56e-04
Epoch 2/16 | Step 79/100 | Global 179 | Total 0.239185 | Data 0.233495 | NS 5.689970 | LR 9.56e-04
Epoch 2/16 | Step 80/100 | Global 180 | Total 0.265547 | Data 0.259274 | NS 6.272718 | LR 9.56e-04
Epoch 2/16 | Step 81/100 | Global 181 | Total 0.129618 | Data 0.122668 | NS 6.949996 | LR 9.56e-04
Epoch 2/16 | Step 82/100 | Global 182 | Total 0.199351 | Data 0.192237 | NS 7.113959 | LR 9.56e-04
Epoch 2/16 | Step 83/100 | Global 183 | Total 0.206078 | Data 0.198414 | NS 7.664420 | LR 9.55e-04
Epoch 2/16 | Step 84/100 | Global 184 | Total 0.182231 | Data 0.163004 | NS 19.226103 | LR 9.55e-04
Epoch 2/16 | Step 85/100 | Global 185 | Total 0.240527 | Data 0.232608 | NS 7.918480 | LR 9.55e-04
Epoch 2/16 | Step 86/100 | Global 186 | Total 0.674399 | Data 0.665838 | NS 8.561186 | LR 9.55e-04
Epoch 2/16 | Step 87/100 | Global 187 | Total 0.445298 | Data 0.438833 | NS 6.464576 | LR 9.54e-04
Epoch 2/16 | Step 88/100 | Global 188 | Total 0.185935 | Data 0.179671 | NS 6.264216 | LR 9.54e-04
Epoch 2/16 | Step 89/100 | Global 189 | Total 0.337389 | Data 0.327367 | NS 10.021305 | LR 9.54e-04
Epoch 2/16 | Step 90/100 | Global 190 | Total 0.493486 | Data 0.483656 | NS 9.830030 | LR 9.54e-04
Epoch 2/16 | Step 91/100 | Global 191 | Total 0.152688 | Data 0.137356 | NS 15.331583 | LR 9.53e-04
Epoch 2/16 | Step 92/100 | Global 192 | Total 0.244660 | Data 0.236397 | NS 8.263143 | LR 9.53e-04
Epoch 2/16 | Step 93/100 | Global 193 | Total 0.252047 | Data 0.243937 | NS 8.110493 | LR 9.53e-04
Epoch 2/16 | Step 94/100 | Global 194 | Total 0.596375 | Data 0.588884 | NS 7.490773 | LR 9.53e-04
