Epoch 15/16 | Step 92/100 | Global 1492 | Total 0.108292 | Data 0.105841 | NS 2.451334 | LR 6.89e-04
Epoch 15/16 | Step 93/100 | Global 1493 | Total 0.154346 | Data 0.151978 | NS 2.368362 | LR 6.88e-04
Epoch 15/16 | Step 94/100 | Global 1494 | Total 0.198562 | Data 0.196090 | NS 2.472278 | LR 6.88e-04
Epoch 15/16 | Step 95/100 | Global 1495 | Total 0.269702 | Data 0.266936 | NS 2.765879 | LR 6.88e-04
Epoch 15/16 | Step 96/100 | Global 1496 | Total 0.176500 | Data 0.173954 | NS 2.545961 | LR 6.88e-04
Epoch 15/16 | Step 97/100 | Global 1497 | Total 0.066430 | Data 0.064031 | NS 2.398848 | LR 6.88e-04
Epoch 15/16 | Step 98/100 | Global 1498 | Total 0.090301 | Data 0.087942 | NS 2.359172 | LR 6.88e-04
Epoch 15/16 | Step 99/100 | Global 1499 | Total 0.108924 | Data 0.106821 | NS 2.103523 | LR 6.87e-04
[2026-05-01 13:11:45,761][train][INFO] - [300.00%] Mini-Batch Losses: Mini-batch NS phy loss =  2.009e+00
Epoch 15/16 | Step 100/100 | Global 1500 | Total 0.171389 | Data 0.169380 | NS 2.008793 | LR 6.87e-04
[2026-05-01 13:12:56,801][train][INFO] - Epoch 15 Metrics: Learning Rate =  6.873e-04, Mini-batch total loss =  5.651e-02, Mini-batch data loss =  5.537e-02, Mini-batch NS phy loss =  1.137e+00
[2026-05-01 13:12:56,801][train][INFO] - Epoch Execution Time:  1.248e+03s, Time/Iter:  4.161e+03ms
Epoch 16/16 | Step 1/100 | Global 1501 | Total 0.100835 | Data 0.098804 | NS 2.030887 | LR 6.87e-04
Epoch 16/16 | Step 2/100 | Global 1502 | Total 0.262235 | Data 0.259594 | NS 2.640893 | LR 6.87e-04
Epoch 16/16 | Step 3/100 | Global 1503 | Total 0.308689 | Data 0.306551 | NS 2.137857 | LR 6.87e-04
Epoch 16/16 | Step 4/100 | Global 1504 | Total 0.143076 | Data 0.140638 | NS 2.437782 | LR 6.87e-04
Epoch 16/16 | Step 5/100 | Global 1505 | Total 0.104221 | Data 0.101341 | NS 2.879283 | LR 6.86e-04
Epoch 16/16 | Step 6/100 | Global 1506 | Total 0.127464 | Data 0.124495 | NS 2.969259 | LR 6.86e-04
Epoch 16/16 | Step 7/100 | Global 1507 | Total 0.192260 | Data 0.189315 | NS 2.944863 | LR 6.86e-04
Epoch 16/16 | Step 8/100 | Global 1508 | Total 0.146812 | Data 0.143530 | NS 3.282132 | LR 6.86e-04
Epoch 16/16 | Step 9/100 | Global 1509 | Total 0.128434 | Data 0.125154 | NS 3.279390 | LR 6.86e-04
Epoch 16/16 | Step 10/100 | Global 1510 | Total 0.181727 | Data 0.176850 | NS 4.876532 | LR 6.86e-04
Epoch 16/16 | Step 11/100 | Global 1511 | Total 0.689556 | Data 0.685058 | NS 4.497803 | LR 6.85e-04
Epoch 16/16 | Step 12/100 | Global 1512 | Total 0.136674 | Data 0.132806 | NS 3.868062 | LR 6.85e-04
Epoch 16/16 | Step 13/100 | Global 1513 | Total 0.286718 | Data 0.282911 | NS 3.806773 | LR 6.85e-04
Epoch 16/16 | Step 14/100 | Global 1514 | Total 0.173316 | Data 0.170337 | NS 2.978758 | LR 6.85e-04
Epoch 16/16 | Step 15/100 | Global 1515 | Total 0.143485 | Data 0.140669 | NS 2.815242 | LR 6.85e-04
Epoch 16/16 | Step 16/100 | Global 1516 | Total 0.162127 | Data 0.157939 | NS 4.187973 | LR 6.85e-04
Epoch 16/16 | Step 17/100 | Global 1517 | Total 0.143660 | Data 0.140612 | NS 3.047982 | LR 6.84e-04
Epoch 16/16 | Step 18/100 | Global 1518 | Total 0.106962 | Data 0.104005 | NS 2.957003 | LR 6.84e-04
Epoch 16/16 | Step 19/100 | Global 1519 | Total 0.085297 | Data 0.081241 | NS 4.055813 | LR 6.84e-04
Epoch 16/16 | Step 20/100 | Global 1520 | Total 0.214606 | Data 0.211842 | NS 2.763928 | LR 6.84e-04
Epoch 16/16 | Step 21/100 | Global 1521 | Total 0.090231 | Data 0.087305 | NS 2.925750 | LR 6.84e-04
Epoch 16/16 | Step 22/100 | Global 1522 | Total 0.117284 | Data 0.113649 | NS 3.634224 | LR 6.83e-04
Epoch 16/16 | Step 23/100 | Global 1523 | Total 0.132514 | Data 0.129277 | NS 3.236830 | LR 6.83e-04
Epoch 16/16 | Step 24/100 | Global 1524 | Total 0.143561 | Data 0.139014 | NS 4.547687 | LR 6.83e-04
Epoch 16/16 | Step 25/100 | Global 1525 | Total 0.266333 | Data 0.262229 | NS 4.104761 | LR 6.83e-04
Epoch 16/16 | Step 26/100 | Global 1526 | Total 0.143738 | Data 0.139657 | NS 4.080945 | LR 6.83e-04
Epoch 16/16 | Step 27/100 | Global 1527 | Total 0.182138 | Data 0.179329 | NS 2.809659 | LR 6.83e-04
Epoch 16/16 | Step 28/100 | Global 1528 | Total 0.162760 | Data 0.158662 | NS 4.097833 | LR 6.82e-04
Epoch 16/16 | Step 29/100 | Global 1529 | Total 0.066372 | Data 0.062246 | NS 4.126156 | LR 6.82e-04
Epoch 16/16 | Step 30/100 | Global 1530 | Total 0.272517 | Data 0.269215 | NS 3.302411 | LR 6.82e-04
Epoch 16/16 | Step 31/100 | Global 1531 | Total 0.110184 | Data 0.106773 | NS 3.410432 | LR 6.82e-04
Epoch 16/16 | Step 32/100 | Global 1532 | Total 0.132999 | Data 0.129612 | NS 3.386741 | LR 6.82e-04
Epoch 16/16 | Step 33/100 | Global 1533 | Total 0.217338 | Data 0.213591 | NS 3.746955 | LR 6.82e-04
[2026-05-01 13:19:58,839][train][INFO] - [100.00%] Mini-Batch Losses: Mini-batch total loss =  1.361e-01
Epoch 16/16 | Step 34/100 | Global 1534 | Total 0.136105 | Data 0.132264 | NS 3.840885 | LR 6.81e-04
Epoch 16/16 | Step 35/100 | Global 1535 | Total 0.456802 | Data 0.451992 | NS 4.809878 | LR 6.81e-04
Epoch 16/16 | Step 36/100 | Global 1536 | Total 0.135390 | Data 0.131553 | NS 3.837295 | LR 6.81e-04
Epoch 16/16 | Step 37/100 | Global 1537 | Total 0.211823 | Data 0.208257 | NS 3.565674 | LR 6.81e-04
Epoch 16/16 | Step 38/100 | Global 1538 | Total 0.223446 | Data 0.220404 | NS 3.042543 | LR 6.81e-04
Epoch 16/16 | Step 39/100 | Global 1539 | Total 0.147207 | Data 0.144259 | NS 2.947939 | LR 6.81e-04
Epoch 16/16 | Step 40/100 | Global 1540 | Total 0.284064 | Data 0.280667 | NS 3.397671 | LR 6.80e-04
Epoch 16/16 | Step 41/100 | Global 1541 | Total 0.125072 | Data 0.121393 | NS 3.679473 | LR 6.80e-04
Epoch 16/16 | Step 42/100 | Global 1542 | Total 0.113169 | Data 0.110502 | NS 2.667850 | LR 6.80e-04
Epoch 16/16 | Step 43/100 | Global 1543 | Total 0.142047 | Data 0.137568 | NS 4.479206 | LR 6.80e-04
Epoch 16/16 | Step 44/100 | Global 1544 | Total 0.252818 | Data 0.250033 | NS 2.784557 | LR 6.80e-04
Epoch 16/16 | Step 45/100 | Global 1545 | Total 0.167670 | Data 0.164719 | NS 2.950244 | LR 6.80e-04
Epoch 16/16 | Step 46/100 | Global 1546 | Total 0.191492 | Data 0.188959 | NS 2.532639 | LR 6.79e-04
Epoch 16/16 | Step 47/100 | Global 1547 | Total 0.079771 | Data 0.077102 | NS 2.668686 | LR 6.79e-04
Epoch 16/16 | Step 48/100 | Global 1548 | Total 0.141006 | Data 0.138396 | NS 2.610494 | LR 6.79e-04
Epoch 16/16 | Step 49/100 | Global 1549 | Total 0.194621 | Data 0.192263 | NS 2.358074 | LR 6.79e-04
Epoch 16/16 | Step 50/100 | Global 1550 | Total 0.156487 | Data 0.153513 | NS 2.974389 | LR 6.79e-04
Epoch 16/16 | Step 51/100 | Global 1551 | Total 0.235737 | Data 0.233215 | NS 2.521979 | LR 6.79e-04
Epoch 16/16 | Step 52/100 | Global 1552 | Total 0.061313 | Data 0.058106 | NS 3.206326 | LR 6.78e-04
Epoch 16/16 | Step 53/100 | Global 1553 | Total 0.064906 | Data 0.062550 | NS 2.356192 | LR 6.78e-04
Epoch 16/16 | Step 54/100 | Global 1554 | Total 0.184718 | Data 0.182071 | NS 2.646392 | LR 6.78e-04
Epoch 16/16 | Step 55/100 | Global 1555 | Total 0.152161 | Data 0.149883 | NS 2.277971 | LR 6.78e-04
Epoch 16/16 | Step 56/100 | Global 1556 | Total 0.132263 | Data 0.129708 | NS 2.554440 | LR 6.78e-04
Epoch 16/16 | Step 57/100 | Global 1557 | Total 0.183572 | Data 0.180680 | NS 2.891304 | LR 6.78e-04
Epoch 16/16 | Step 58/100 | Global 1558 | Total 0.163341 | Data 0.160374 | NS 2.966602 | LR 6.77e-04
Epoch 16/16 | Step 59/100 | Global 1559 | Total 0.162339 | Data 0.159741 | NS 2.597206 | LR 6.77e-04
Epoch 16/16 | Step 60/100 | Global 1560 | Total 0.441784 | Data 0.438771 | NS 3.013078 | LR 6.77e-04
Epoch 16/16 | Step 61/100 | Global 1561 | Total 0.163584 | Data 0.161298 | NS 2.286753 | LR 6.77e-04
Epoch 16/16 | Step 62/100 | Global 1562 | Total 0.153137 | Data 0.150389 | NS 2.748211 | LR 6.77e-04
Epoch 16/16 | Step 63/100 | Global 1563 | Total 0.121963 | Data 0.119649 | NS 2.314252 | LR 6.77e-04
Epoch 16/16 | Step 64/100 | Global 1564 | Total 0.275614 | Data 0.272689 | NS 2.924691 | LR 6.76e-04
Epoch 16/16 | Step 65/100 | Global 1565 | Total 0.093852 | Data 0.091456 | NS 2.395372 | LR 6.76e-04
Epoch 16/16 | Step 66/100 | Global 1566 | Total 0.135827 | Data 0.133508 | NS 2.318895 | LR 6.76e-04
[2026-05-01 13:26:30,580][train][INFO] - [200.00%] Mini-Batch Losses: Mini-batch data loss =  1.262e-01
Epoch 16/16 | Step 67/100 | Global 1567 | Total 0.128996 | Data 0.126221 | NS 2.775536 | LR 6.76e-04
Epoch 16/16 | Step 68/100 | Global 1568 | Total 0.307683 | Data 0.304429 | NS 3.253977 | LR 6.76e-04
Epoch 16/16 | Step 69/100 | Global 1569 | Total 0.222383 | Data 0.219517 | NS 2.865462 | LR 6.76e-04
Epoch 16/16 | Step 70/100 | Global 1570 | Total 0.207492 | Data 0.204632 | NS 2.859667 | LR 6.75e-04
Epoch 16/16 | Step 71/100 | Global 1571 | Total 0.189965 | Data 0.187080 | NS 2.885213 | LR 6.75e-04
Epoch 16/16 | Step 72/100 | Global 1572 | Total 0.190238 | Data 0.187466 | NS 2.772563 | LR 6.75e-04
Epoch 16/16 | Step 73/100 | Global 1573 | Total 0.092678 | Data 0.089608 | NS 3.070016 | LR 6.75e-04
Epoch 16/16 | Step 74/100 | Global 1574 | Total 0.089814 | Data 0.086826 | NS 2.988234 | LR 6.75e-04
Epoch 16/16 | Step 75/100 | Global 1575 | Total 0.126476 | Data 0.123531 | NS 2.944706 | LR 6.74e-04
Epoch 16/16 | Step 76/100 | Global 1576 | Total 0.100458 | Data 0.097515 | NS 2.942973 | LR 6.74e-04
Epoch 16/16 | Step 77/100 | Global 1577 | Total 0.199192 | Data 0.195711 | NS 3.480869 | LR 6.74e-04
Epoch 16/16 | Step 78/100 | Global 1578 | Total 0.150609 | Data 0.147352 | NS 3.257138 | LR 6.74e-04
